年,月,日,品目コード,品目名,価格
2021,11,29,50600,オレンジ,257
2021,11,30,50600,オレンジ,270
2021,11,22,50800,輸入キウイ,577
2021,11,24,50800,輸入キウイ,559
2021,11,25,50800,輸入キウイ,550
2021,11,26,50800,輸入キウイ,547
2021,11,27,50800,輸入キウイ,557
2021,11,29,50800,輸入キウイ,559
2021,11,30,50800,輸入キウイ,550
2021,11,22,50850,輸入メロン,300
2021,11,24,50850,輸入メロン,293
2021,11,25,50850,輸入メロン,315
2021,11,26,50850,輸入メロン,319
2021,11,27,50850,輸入メロン,314
2021,11,29,50850,輸入メロン,245
2021,11,30,50850,輸入メロン,292
2021,11,22,50900,他の輸入果実,777
2021,11,24,50900,他の輸入果実,624
2021,11,25,50900,他の輸入果実,721
2021,11,26,50900,他の輸入果実,654
2021,11,27,50900,他の輸入果実,650
2021,11,29,50900,他の輸入果実,676
2021,11,30,50900,他の輸入果実,640
